[0:15:04] ぐりんてぃー89: 方向指定スキルが異常に上手いかるび
[0:15:04] bonjiri7: マクロはくらっちくんに、イブにはかるびのコールしてもらおう
[0:15:04] ぴえた: つよすぎる
[0:15:05] takosu_1: スキルショットだけはうまい
[0:15:05] challengerdebu: 中国2000lp エズリアル https://www.youtube.com/watch?v=zhVOnC2Rbdc&t=456s
[0:15:07] ayukunddd: 初心者3人があんまlolやってなさそうのが辛そう
[0:15:08] ぬーぼ: すでにイブラヒム軽めのライジンって呼ばれてるよ
[0:15:10] kajufs: 昨日のカスタムおもろかったしな
[0:15:12] manaby_t: プラチナはありそう
[0:15:14] corgi_green: かるびのラジコンでイブラヒムナーフされるらしい
[0:15:17] potetoAIMmen: カルビのモルガナ強いぞ
[0:15:17] ksn0127: もうlol忘れてたぞかるび
[0:15:18] ぷーくま: ここbot勝てたら激アツ
[0:15:18] dochjam: ありけんしなしなになりそう
[0:15:23] ultraafro: とおこめっちゃ勝ってたで
[0:15:27] ESL_OR4NNGE: 天帝さんＡＤかなりうまいからあそこダイブボット強そう
