[2:56:05] 0110_ally_yasuo: 残りの結果分からなくなった～ｗ
[2:56:24] ghalnaag: これを機にセラファーンやるべ
[2:56:45] khulaine: Fizz died...
[2:57:26] sekain0sekai: APのバーストが出るチャンピオンが今ティア高いのでBANされがちです。
[2:59:13] leon_10_09: ファイティン〜🎵
[3:00:11] くろーずど: 超遠距離はタワー ミニオン 偽物で防げる
[3:00:46] はちべぇ_: ニーコvsアクシャン、ニーコ有利です
[3:01:21] ゆーえぬ0: 草
[3:01:27] himajin456: 草
[3:04:08] くろーずど: アクシャンが全キャラクターで一番強いのがこの辺りの時間帯なので・・・
[3:04:59] ryusei_000: こんはる〜勝率 shibuy3Donnnamon
[3:05:46] あーちゃん___: こんはるー
[3:08:02] haluol: こんはる shibuy3Donnnamon
[3:08:27] ゆーえぬ0: ないすぅ
[3:08:33] ghalnaag: うまーい
[3:09:43] chikuwa_______: !rank
[3:09:43] Nightbot: [APEX] Main:Gold2 Solo:未認定 [VALO] Dia3 [雀魂] 雀豪2 [LoL] NA時代のGold
[3:09:48] くろーずど: 勝てなかったアクシャンはここからドンドン失速していく；；
[3:10:22] くろーずど: 渋ハルはキモぷれいがうまいなぁ
[3:11:44] ゆーえぬ0: しなしなや
[3:12:49] yu_8686: ないすぅ
[3:12:54] aina880603: おお
[3:12:54] ghalnaag: いいきしょさw
[3:13:03] zucchini314: そのミニオン、渋谷ハルでぇす！
[3:15:56] ゆーえぬ0: おしー
[3:16:07] himajin456: おしいー
[3:17:04] くろーずど: あいつひっかからなかったなｗ
[3:20:02] syarke7: 謎ヘラルド
[3:20:37] ゆーえぬ0: なんかおかしいな
[3:20:43] aina880603: あれ
[3:22:53] ghalnaag: すー
[3:25:25] ゆーえぬ0: くっそいてえ
[3:28:32] くろーずど: アイテムのCTだったからじゃないかな、次のバーストは大ダメージや
[3:28:56] ゆーえぬ0: びっくりR
[3:29:44] くろーずど: このアイテムビルド、指忙しいよなーｗ
[3:33:56] インセクター羽賀研二: ADCに化けてよってきた相手Rで狩るのも面白い
[3:34:47] chef_oizumi: 今来たんだけど戦績どんなもん？
[3:36:44] meteor_shower14: ジグスミスピックなのかな…？
[3:37:19] thalassophobia39: 流石にこの試合終わったらブロックか
[3:37:34] ゆーえぬ0: gg
[3:37:43] ghalnaag: gg
[3:37:47] yu_8686: GG
[3:37:50] aina880603: gg
[3:37:51] shin0nl: gg
[3:37:58] 瓜うじ: gg
[3:37:59] himajin456: gg
[3:38:02] Rey_0o: gg
[3:38:42] leon_10_09: GG✨
[3:38:47] yukina_2525: gg
[3:40:36] egretdotnull: ｗｗｗｗｗ
[3:40:53] egretdotnull: 渋ハルのなぁぜなぁぜ
[3:41:22] kanae_is_god: !rank
[3:41:22] Nightbot: [APEX] Main:Gold2 Solo:未認定 [VALO] Dia3 [雀魂] 雀豪2 [LoL] NA時代のGold
[3:41:59] pokotanoob: 一応25がマイルストーンの最大です
[3:42:22] Envy53: 彼女が唯一使えるチャンピオンだったからきがする
[3:42:23] egretdotnull: topだとおもうよなあ…
[3:43:07] arpeggio0183: 凄すぎんだろ
[3:43:10] himajin456: ほっこり
[3:44:26] gil_12_12: 今日の戦績どんな感じですか？？
[3:46:25] CLOver1024: 初手ギブということでここはひとつ
[3:46:28] arpeggio0183: TOP GG
[3:47:02] leon_10_09: let’s go 〜🎵
[3:47:46] れぉん69: wはeの射程伸びるから当てて、q2の後ハイドラでキャンセルq3がつよい
[3:48:01] pisceskaz: 終わったか
[3:48:33] kz_exception: じ、ごく
[3:49:01] ようすい: 楽しくやろ〜 HungryPaimon
[3:49:13] CLOver1024: しれーっと相手の森も食っちまおう
[3:50:32] egretdotnull: jg割っててワロタｗｗｗｗ
[3:50:54] pisceskaz: いい意味でTOPGAP?
[3:50:54] arpeggio0183: TOP勝てるマジか
[3:51:00] hyappoda: 相手のjgワンチャンafkかな
[3:53:19] leon_10_09: www
[3:53:21] arpeggio0183: メロンパンええなぁ
[3:53:34] himajin456: 常温メロンパンw
[3:53:47] hyappoda: どのレーンいってもそれは思う
[3:54:05] remiii_oh: MIDの人OPGG見る限り３３レベルだしガチの初心者っぽくはある
[3:54:54] arpeggio0183: 初心者が迷い込んでしまったか…？
[3:55:03] わがはいさん: 無理なもんは無理委員会
[3:56:47] わがはいさん: 味方を数秒間ゾンビ状態にできる
[3:56:56] ゆーえぬ0: ゾンビつえー
[3:57:14] kinota1221: あるよ
[3:57:19] ゆーえぬ0: こらこらこら
[3:57:29] 沼ノ字: 全レーン負けてる時のjgはどうすればいいんだろか
[3:57:39] CLOver1024: 全員下げラン‼️❓
[3:58:04] ゆーえぬ0: やることなくなったわ
[3:58:20] 沼ノ字: なるほどｗ
[3:59:18] ゲーマーリリス: こういう時のjgマジで暇なんだよな
[3:59:23] なえきむち: これが本物のlolか……
[3:59:34] れぉん69: 人類は思い出した…
[3:59:37] gil_12_12: ろ、る
[3:59:41] ゆーえぬ0: 草
[3:59:45] cet0s: ティアマトがアクティブアイテム化したの忘れますよね
[4:00:21] CLOver1024: topでそろそろレジェンドが生まれそう
[4:00:30] 吉野リオ: あと２分耐えるんだ
[4:00:51] kinota1221: 早期降参コマンドでできるよ
[4:02:04] spiegel13021: スラッシュffノーマルにはあるよね
[4:02:06] boin4315: イブさんLOLの闇に飲まれてない？
[4:02:08] CLOver1024: のりこめ〜^^
[4:02:35] れぉん69: ティアマトアクティブ
[4:03:11] s_oootu: バーキンはマジで飛べる
[4:03:14] Hiroki_gtr34: めっちゃ分かる
[4:03:23] わがはいさん: 今初売りとかってバーガー２個セットでめっちゃ安いのあるよねバーキン
[4:03:46] s_oootu: ワンパウンダー食って欲しいわ
[4:03:58] boin4315: 今新規多いから
[4:03:59] CLOver1024: おっしゃランクいくで！の民か
[4:04:21] 吉野リオ: 初心者はほんとにランク行っちゃだめ！！
[4:04:36] s_oootu: ゴールドなのに格上のランクとぶち当たるのほんと辛い、泣きたくなる
[4:04:44] はちべぇ_: バーキンはいいぞ～
[4:04:45] himajin456: いいなー
[4:04:48] hyappoda: ブロンズなのにゴールド対面とかよくあります
[4:04:50] haluol: バーキンいいな
[4:04:54] atorantaru4: 振り分け戦は問答無用でシルバーgold帯に属すのでもしかすると振り分け戦の可能性ありますね
[4:05:13] hijikatasupesyaru: k4senも同じこと言ってた
[4:05:17] mituki_t: もう手遅れでした
[4:05:17] れぉん69: 敵は幸せ
[4:05:28] thalassophobia39: 振り分け戦中だったってこと？
[4:05:32] kinota1221: ランクでは始まった瞬間に味方をミュートしましょう
[4:05:32] himajin456: 厳しい世界だ
[4:05:35] 吉野リオ: 一生しゃぶられて終わりです
[4:05:38] zucchini314: Riotさんなんとかしてくださひ
[4:05:43] ようすい: ノマ500戦くらいからでお願いします
[4:05:46] paulg1333: ランクは掲示板でフルパ組みましょう！！
[4:05:51] rrrrrrrrrr90909090: よくそこまで自分に自信持ててるのはすげぇなって思うw
[4:05:57] senju_jp: 敵も次のマッチは不幸せな可能性あるよ
[4:06:15] doradera0: ３０
[4:06:19] ynolate: 初心者が全員いなくなったらまた一番弱い層が初心者扱いされるだけだよ
[4:06:20] mamomiyochen: やあ
[4:06:21] ごはん怪獣: でも今はノーマルも優先レーンを設定しなきゃ練習すら出来なくってー
[4:06:22] どん3: 優しいな。全然ボコして気持ちよくなれよ
[4:06:23] kumo012: とりあえずランクいくの民
[4:06:25] 新入り_: 他の配信者さんで敵に初心者いて気まずくなってたの見たわ
[4:06:28] kaka0224: 下ランクから始まるならみんなハッピー
[4:06:32] asuka_moa: 初狩りしてる気分になってくるんだよねきっと
[4:06:33] himajin456: 自信云々の前に分かってないだけかもしれない
[4:06:38] doradera0: ３０で行けるのが良くない
[4:06:47] hyappoda: LoLは好きだけど下手だったら何言ってもいいみたいな風潮きらい
[4:06:52] morry090909: そして心折れてARAMに籠る
