[0:23:44] くもも784: メナとはマブだから
[0:23:49] ネ羊: つよw
[0:23:49] sorasiro989: つっよ
[0:23:50] ななしという名があります: つっよ
[0:23:50] goumoukunx: うんま
[0:23:50] fps_893: レイドしてくれたから翔も友達
[0:23:54] やまだのやまやま: うま
[0:23:55] pandasan_power: メナとはもう親友やぞ
[0:23:56] とろとろぴく: 高木クラシックになってね？
[0:24:00] ayatinene: p入ります
[0:24:01] magical_ba77: まんじはlcqからだから17日かな
[0:24:12] empirenow57: カプコンカップ見るの有料？
[0:24:17] kawacy0226: うんま
[0:24:22] shin4567890: 無料だよー
[0:24:23] pandasan_power: いいね
[0:24:23] aaabbb34: 運命だな
[0:24:27] nowiejwssie: もちろん無料
[0:24:30] empirenow57: さんくす
[0:24:30] tyyytws: ｗｗ
[0:24:31] tugaru_san: ブランカの絆
[0:24:33] moukuso: w
[0:24:35] 冴羽リョウ: 誕生日祝った？
[0:24:38] 呂布カルパス: takagi8Love
[0:24:39] ゆりぴっぴ: ww
[0:24:42] くもも784: そのかわり手ながいのでｗ
[0:24:49] aaabbb34: ルークの中パンならなあ・・・
[0:24:51] とろとろぴく: 空見てw
[0:24:58] はせのしん: 高木一門作ろう
[0:25:01] kakane0908: 打撃くらいすぎやな
[0:25:04] pandasan_power: ザカセンの時だったよね誕生日
[0:25:27] isupumari: メンバーだれなん？
[0:25:29] magical_ba77: lolやめとくか
[0:25:44] たくみ0928: 釈迦さんともやってくれ
[0:25:53] moukuso: たかやスペシャル、たぬき忍者、夜よいち、ありけんらしい
[0:26:05] tyyytws: ｗｗｗ
[0:26:12] 3_yossy_3: www
[0:26:14] かんぱちくん: メンバー強くね？w
[0:26:15] gjmdawn: たぬきスペシャルさん
[0:26:15] sorasiro989: ありけんパチンコの椅子座れんの
[0:26:19] isupumari: メンバーつっよ
[0:26:21] くもも784: たかやたなきたかぎ
[0:26:22] むつっきー: たぬきスペシャルww
[0:26:23] ajio_35: たかやたぬきたかぎ
[0:26:24] 呂布カルパス: 高木、たぬき、たかや
[0:26:25] cyclenn: たかぎスペシャル
[0:26:26] kakinootaane: メンバーつえー
[0:26:28] 帽子から猫: 敵やばそう
[0:26:50] pipipipiv: まさか、しゃるる杯出るのか？
[0:26:52] 冴羽リョウ: おっちゃんの大K対空痺れたね
[0:26:59] くもも784: ジュリが弾ないキャラには基本強いでな
[0:27:03] 呂布カルパス: wwwww
[0:27:07] ほしすたいる: ｗ
[0:27:07] hisagi_jp: wwwwww
[0:27:11] roror110: 無理だろw
[0:27:12] as_desu: ありけん起きたやん
[0:27:14] lelelele4415: wwwwwww
[0:27:14] あきあきふゆふゆ: ありけん配信始めたぞ
[0:27:17] はりぷ: ありけん配信し出してるやん
[0:27:18] shin4567890: ちょろｗ
[0:27:22] ミりン: ヨイショー
[0:27:23] ajio_35: おだてられたらしっかり乗る男
[0:27:41] つっきー3355: ありけん起きてるやんけ
[0:27:45] 非公式お兄さんフニュー: でも正解だったんだ
[0:27:53] ゆりぴっぴ: 今日は夜lolだけ？
[0:27:56] くもも784: ちょろいて思われてるくらいが楽よｗ
[0:27:57] shin4567890: よいちゃんほめてくれるなら乗ってもいいよね！
[0:28:13] 0hur0: よお
[0:28:58] くもも784: マノンはぼったくりキャラだからな座学しないとね
[0:29:01] 朕は沢田: 後ろのリンゴ動くんだw
[0:29:20] おむだお: ストグラはしばらくなしか
[0:29:25] yajiuma3: 売れっ子じゃん
[0:29:33] 森永ぐりこ: ストグラ飽きた？
[0:29:39] ミりン: え
[0:29:42] 朕は沢田: あ
[0:29:47] 3_yossy_3: あぅ
[0:29:47] as_desu: w
[0:29:50] lelelele4415: wwwwwww
[0:29:55] くもも784: まだＭＲ落ち着いてない1500帯だからな強い人もまじってるさ
[0:29:55] magical_ba77: おい高木ハイタニ先生が銃持って暴れようとしてるぞ
[0:30:10] as_desu: バクステじゃない
[0:30:15] marcelgogo: ドキドキする？
[0:30:21] yamasachi_11: 狙われてる
[0:30:21] 冴羽リョウ: お姉さんキラー発動しちゃうか
[0:30:22] aoaomino: 緊張しちゃうね♡
[0:30:24] naienu: モテ期来たか
[0:30:28] ohotukukai: 高木さんそれ狙われてますよ
[0:30:36] dentaltor22: まずは誘ってくれてありがとうだな
[0:30:39] たくみ0928: www
[0:30:42] itijou_: ガキw
[0:30:44] as_desu: w
[0:30:44] メルドン: wwwwww
[0:30:44] hisagi_jp: wwwwww
[0:30:45] おちぇんだよ: wwwww
[0:30:47] ゆりぴっぴ: ww
[0:30:53] dentaltor22: ミュートsay
[0:30:53] ねぎねぎ: アカウント分ければいいのにｗ
[0:30:53] ゴンドリル: 送る人いるんかw
[0:30:54] みっどてんぽ: 追放するしかねぇ
[0:30:55] tooo818: ガキ多いか
[0:30:55] はりぷ: ww
[0:30:58] バイオ太郎: そういう場所じゃねえだろｗ
[0:31:01] メルドン: みんな高木のこと好きなんだよ
[0:31:01] karumimaguro: wwww
[0:31:02] ひろせぇ: ガキ多いんやね
[0:31:04] くもも784: ぬけとけよもうｗ
[0:31:09] むつっきー: 大概にsayよ
[0:31:12] ohotukukai: お前と友達になりたいんだろ
[0:31:14] 飯田3: それは迷惑すぎる
[0:31:19] as_desu: 正味ファン以外は抜けていいだろ
