[0:28:08] たもー: ｗｗｗｗｗｗ
[0:28:08] yagi_ais: この話終わったよｗｗｗ
[0:28:09] さまえるです: BloodTrail
[0:28:09] オドラ: wwwww
[0:28:10] akagitakenorii: BloodTrail
[0:28:11] ゆうのっと: arikenSaitei arikenSaitei
[0:28:11] 初動激戦区降り御免早漏: wwww
[0:28:11] 蓬団子: あ
[0:28:11] 2_223: あ
[0:28:12] hpymssc: BloodTrail BloodTrail BloodTrail
[0:28:13] dsddontworry: 言ってることやばw
[0:28:14] 気分良く: あいそやねw
[0:28:15] ixtxirzuctxitxurxlt: あ
[0:28:15] greentea211: える
[0:28:16] paimon1234567890: BloodTrail BloodTrail BloodTrail
[0:28:19] みさき㌠: うわ
[0:28:23] horryyyy: でどろよりは強くない？
[0:28:23] miyabi_ga: 敵でね？
[0:28:24] faiba2525: デッドロックよりも？
[0:28:25] wasyoimax: 嫌だけど勝てないわけではないもんね
[0:28:28] renard0326: デッドロックではないか
[0:28:33] nagityosu_: それかみとさんに伝えよう！
[0:28:36] esaki12: それはそう
[0:28:37] triela_ff14: 優しい人はヴァロラント向いてない了解
[0:28:38] AmberTka: レーン戦で土下座しすぎて癖になっちゃった
[0:28:40] shigure_n08: デッドロックの方が嫌かも
[0:28:40] yuki03160601: オペ買わされるのだるいんだよなw
[0:28:48] 気分良く: 案外ありじゃない？
[0:28:53] yagi_ais: そういえばチェンバーヨル以外のピックするようになったの？
[0:28:55] ayugonn: かみーとはチェンじゃない方がちょっとってなりそう
[0:29:08] nagityosu_: 使ってるやつによる
[0:29:09] tomoyanyan1031: アイソのこと忘れてないかい？
[0:29:14] ぴくしあ: 俺なら試合中に攻めオペやめて着いてきてくださいって言っちゃう
[0:29:23] いちみく: かみーとはなんのキャラ使ってもオペでMVP取っちゃう人
